fname               ,Compiler for Instance ,Compiler for Class ,Compile Instance ,build query ,mode check ,instance search ,refine.typecheck ,msolve  ,query-compilation ,static-check ,optimization ,runtime ,mode check fail ,instance search fail ,refine.typecheck fail ,msolve fail
streams.v           ,               0.0163 ,                   ,          0.0045 ,     0.0013 ,    0.0002 ,         0.0002 ,          0.0004 , 0.0037 ,           0.0012 ,      0.0000 ,      0.0684 , 0.0212 ,                ,                     ,                      ,      
gmultiset.v         ,               0.3692 ,            0.0022 ,          0.2352 ,     0.0644 ,    0.0142 ,         0.1148 ,          0.0395 , 0.5084 ,           0.0328 ,      0.0000 ,      2.6887 , 0.9132 ,                ,              0.0010 ,                      ,     0.0193
listset_nodup.v     ,               0.0617 ,                   ,          0.0083 ,     0.0018 ,    0.0006 ,         0.0004 ,          0.0007 , 0.0117 ,           0.0023 ,      0.0000 ,      0.1711 , 0.0751 ,                ,                     ,                      ,      
nmap.v              ,               0.0274 ,                   ,          0.0036 ,     0.0184 ,    0.0098 ,         0.0030 ,          0.0050 , 0.0588 ,           0.0074 ,      0.0000 ,      0.4030 , 0.0914 ,                ,                     ,                      ,      
coPset.v            ,               0.0477 ,                   ,          0.0109 ,     0.0036 ,    0.0008 ,         0.0008 ,          0.0011 , 0.0123 ,           0.0030 ,      0.0000 ,      0.3028 , 0.0622 ,                ,              0.0002 ,                      ,     0.0006
coGset.v            ,               0.1030 ,                   ,          0.1786 ,     0.0493 ,    0.0097 ,         0.0924 ,          0.0191 , 0.4528 ,           0.0229 ,      0.0000 ,      1.3522 , 0.5750 ,                ,              0.0002 ,                      ,     0.0037
propset.v           ,               0.0235 ,                   ,          0.0070 ,     0.0054 ,    0.0012 ,         0.0008 ,          0.0019 , 0.0212 ,           0.0041 ,      0.0000 ,      0.2875 , 0.0478 ,                ,                     ,                      ,      
functions.v         ,               0.0079 ,                   ,          0.0035 ,     0.0009 ,    0.0002 ,         0.0004 ,          0.0004 , 0.0054 ,           0.0011 ,      0.0000 ,      0.0429 , 0.0141 ,                ,                     ,                      ,      
sorting.v           ,               0.0147 ,                   ,          0.0279 ,     0.0064 ,    0.0014 ,         0.0014 ,          0.0026 , 0.0509 ,           0.0064 ,      0.0000 ,      0.2905 , 0.0790 ,                ,                     ,                      ,      
nat_cancel.v        ,               0.0328 ,            0.0041 ,          0.0090 ,     0.0001 ,    0.0000 ,         0.0000 ,          0.0000 , 0.0006 ,           0.0012 ,      0.0000 ,      0.1188 , 0.0400 ,                ,                     ,                      ,      
namespaces.v        ,               0.0189 ,                   ,          0.0184 ,     0.0137 ,    0.0038 ,         0.0096 ,          0.0174 , 0.1123 ,           0.0071 ,      0.0000 ,      0.5160 , 0.1375 ,                ,              0.0000 ,                      ,     0.0016
telescopes.v        ,               0.0014 ,                   ,          0.0003 ,     0.0009 ,    0.0001 ,         0.0001 ,          0.0003 , 0.0024 ,           0.0008 ,      0.0000 ,      0.0173 , 0.0041 ,                ,                     ,                      ,      
binders.v           ,               0.0653 ,                   ,          0.1401 ,     0.0392 ,    0.0033 ,         0.0052 ,          0.0053 , 0.2075 ,           0.0066 ,      0.0000 ,      0.3830 , 0.2864 ,         0.0000 ,              0.0247 ,                      ,     0.0395
bitblast.v          ,                      ,            0.0027 ,          0.0006 ,     0.0107 ,    0.0015 ,         0.0051 ,          0.0041 , 0.0363 ,           0.0079 ,      0.0000 ,      0.2885 , 0.0450 ,                ,                     ,                      ,      
bitvector.v         ,               0.0597 ,            0.0020 ,          0.0072 ,     0.0131 ,    0.0025 ,         0.0034 ,          0.0042 , 0.0511 ,           0.0125 ,      0.0000 ,      0.4316 , 0.1197 ,                ,              0.0000 ,                      ,     0.0036
bitvector_tactics.v ,                      ,            0.0019 ,          0.0104 ,     0.0076 ,    0.0022 ,         0.0019 ,          0.0034 , 0.0453 ,           0.0062 ,      0.0000 ,      0.2793 , 0.0526 ,                ,                     ,                      ,      
