fname,Compiler for Instance,Compiler for Class,Compile Instance,build query,compile context, normalize ty,mode check,refine.typecheck,msolve,full instance search, instance search,query-compilation,static-check,optimization,runtime
base.v,0.3311,0.0660,0.6100,0.0252,0.1452,0.0097,0.0055,0.0094,0.2324,0.2068,0.0060,0.0329,0.0000,2.0810,2.3277
TOTAL,5.0770,0.0963,7.7267,3.4609,6.8330,1.3144,0.6689,1.2283,20.1392,16.4442,2.6070,2.1079,0.2290,68.3894,27.9892
proof_irrel.v,0.0087,,0.0042,0.0007,0.0013,0.0003,0.0002,0.0003,0.0037,0.0031,0.0001,0.0008,0.0000,0.0494,0.0135
decidable.v,0.0247,,0.0259,0.0066,0.0204,0.0034,0.0018,0.0030,0.0534,0.0466,0.0030,0.0074,0.0000,0.3339,0.0804
tactics.v,0.0014,0.0015,0.0007,0.0001,0.0003,0.0001,0.0000,0.0000,0.0007,0.0005,0.0000,0.0003,0.0000,0.0269,0.0041
option.v,0.1358,0.0032,0.0853,0.0261,0.0347,0.0099,0.0054,0.0085,0.1237,0.1052,0.0128,0.0279,0.0000,1.1164,0.2751
orders.v,0.0165,,0.0106,0.0019,0.0064,0.0010,0.0006,0.0009,0.0147,0.0126,0.0009,0.0023,0.0000,0.1225,0.0324
numbers.v,0.2138,,0.0328,0.0338,0.0042,0.0113,0.0059,0.0096,0.1038,0.0841,0.0119,0.0231,0.0000,1.2123,0.3303
list.v,0.4944,0.0035,0.2709,0.3252,0.1787,0.1167,0.0605,0.0938,1.1210,0.9063,0.0770,0.2084,0.0000,6.5793,1.6543
list_numbers.v,,,,0.0129,0.0017,0.0039,0.0023,0.0034,0.0374,0.0290,0.0021,0.0082,0.0000,0.2299,0.0429
fin.v,0.0039,,0.0010,0.0002,0.0000,0.0001,0.0000,0.0000,0.0006,0.0005,0.0001,0.0004,0.0000,0.0136,0.0047
countable.v,0.0618,0.0014,0.0580,0.0234,0.0569,0.0091,0.0068,0.0077,0.1365,0.1189,0.0094,0.0161,0.0000,0.7499,0.2093
vector.v,0.0083,,0.0061,0.0083,0.0052,0.0024,0.0016,0.0021,0.0306,0.0257,0.0044,0.0048,0.0000,0.2305,0.0410
finite.v,0.0533,0.0009,0.1833,0.0434,0.2502,0.0260,0.0131,0.0222,0.4485,0.3869,0.0303,0.0405,0.1213,1.2705,0.5242
sets.v,0.7346,0.0027,0.3327,0.3664,0.1497,0.1284,0.0696,0.1521,1.8765,1.4770,0.5547,0.2255,0.0000,10.3987,2.7754
relations.v,0.0129,,0.0056,0.0056,0.0077,0.0018,0.0009,0.0027,0.0464,0.0397,0.0211,0.0044,0.0000,0.1598,0.0618
fin_sets.v,0.2234,,0.2874,0.2752,0.2266,0.0939,0.0477,0.0921,1.8729,1.6111,0.8571,0.1605,0.1077,5.5345,2.1772
fin_maps.v,0.9830,0.0021,3.8214,1.3339,3.9177,0.5181,0.2462,0.4245,8.3580,6.9777,0.4097,0.7477,0.0000,18.6622,9.6571
fin_map_dom.v,0.2046,0.0013,1.4088,0.3393,1.4784,0.1595,0.0688,0.1412,2.9914,2.5268,0.3376,0.2494,0.0000,4.2450,3.3086
listset.v,0.0564,,0.0087,0.0076,0.0004,0.0023,0.0016,0.0027,0.0247,0.0172,0.0013,0.0065,0.0000,0.4225,0.0859
lexico.v,0.0323,,0.0355,0.0189,0.0292,0.0032,0.0017,0.0033,0.0674,0.0599,0.0016,0.0072,0.0000,0.3759,0.1133
boolset.v,0.0231,,0.0050,0.0013,0.0023,0.0006,0.0004,0.0006,0.0079,0.0060,0.0005,0.0017,0.0000,0.1104,0.0324
mapset.v,0.1344,,0.0325,0.0390,0.0132,0.0197,0.0071,0.0104,0.2127,0.1103,0.0157,0.0157,0.0000,0.9436,0.3602
pmap.v,0.0319,,0.0143,0.0669,0.0197,0.0241,0.0113,0.0311,0.2793,0.1818,0.0331,0.0571,0.0000,1.8985,0.3460
strings.v,0.0087,,0.0013,0.0038,0.0003,0.0011,0.0007,0.0003,0.0094,0.0082,0.0008,0.0010,0.0000,0.0505,0.0127
pretty.v,0.0148,0.0010,0.0020,0.0114,0.0030,0.0052,0.0022,0.0049,0.0480,0.0305,0.0021,0.0112,0.0000,0.3597,0.0668
infinite.v,0.0219,,0.0094,0.0044,0.0064,0.0015,0.0010,0.0015,0.0216,0.0168,0.0009,0.0038,0.0000,0.2147,0.0462
gmap.v,0.2454,,0.1199,0.1205,0.1084,0.0587,0.0238,0.0389,0.5061,0.3740,0.0256,0.0707,0.0000,1.4841,0.7777
stringmap.v,,,,0.0077,0.0011,0.0032,0.0019,0.0028,0.0359,0.0274,0.0097,0.0042,0.0000,0.1526,0.0388
zmap.v,0.0244,,0.0037,0.0307,0.0048,0.0082,0.0049,0.0084,0.0994,0.0742,0.0049,0.0117,0.0000,0.4949,0.1313
hashset.v,0.0502,,0.0059,0.0481,0.0053,0.0141,0.0068,0.0526,0.1816,0.1031,0.0090,0.0238,0.0000,0.6472,0.2445
natmap.v,0.0274,,0.0037,0.0249,0.0029,0.0073,0.0045,0.0080,0.0825,0.0592,0.0086,0.0151,0.0000,0.8566,0.1199
streams.v,0.0164,,0.0045,0.0013,0.0001,0.0003,0.0002,0.0004,0.0035,0.0028,0.0002,0.0013,0.0000,0.0679,0.0213
gmultiset.v,0.4948,0.0024,0.1525,0.0944,0.0238,0.0227,0.0344,0.0375,0.3977,0.3149,0.1058,0.0360,0.0000,2.6080,0.9164
listset_nodup.v,0.0367,,0.0051,0.0024,0.0001,0.0007,0.0007,0.0007,0.0082,0.0058,0.0004,0.0023,0.0000,0.2083,0.0465
nmap.v,0.0248,,0.0035,0.0181,0.0025,0.0046,0.0030,0.0049,0.0521,0.0378,0.0030,0.0070,0.0000,0.4068,0.0822
coPset.v,0.0401,,0.0046,0.0031,0.0012,0.0012,0.0008,0.0011,0.0133,0.0095,0.0010,0.0031,0.0000,0.2392,0.0553
coGset.v,0.1004,,0.0834,0.0433,0.0785,0.0147,0.0093,0.0177,0.2307,0.1841,0.0173,0.0215,0.0000,1.3205,0.3460
propset.v,0.0222,,0.0066,0.0050,0.0035,0.0016,0.0011,0.0018,0.0332,0.0278,0.0008,0.0036,0.0000,0.2729,0.0587
functions.v,0.0074,,0.0018,0.0012,0.0001,0.0003,0.0002,0.0004,0.0036,0.0029,0.0004,0.0009,0.0000,0.0415,0.0118
sorting.v,0.0144,,0.0118,0.0072,0.0087,0.0028,0.0015,0.0026,0.0323,0.0263,0.0014,0.0063,0.0000,0.2834,0.0513
nat_cancel.v,0.0313,0.0040,0.0086,0.0001,0.0003,0.0001,0.0000,0.0000,0.0006,0.0005,0.0000,0.0005,0.0000,0.1166,0.0382
namespaces.v,0.0180,,0.0027,0.0150,0.0021,0.0051,0.0036,0.0058,0.0697,0.0534,0.0096,0.0065,0.0000,0.4828,0.0928
telescopes.v,0.0013,,0.0003,0.0008,0.0001,0.0002,0.0001,0.0003,0.0024,0.0018,0.0001,0.0008,0.0000,0.0173,0.0041
binders.v,0.0645,,0.0331,0.0143,0.0062,0.0050,0.0031,0.0050,0.1231,0.0411,0.0057,0.0062,0.0000,0.3330,0.1879
bitblast.v,,0.0027,0.0006,0.0105,0.0020,0.0032,0.0015,0.0039,0.0351,0.0272,0.0047,0.0075,0.0000,0.2790,0.0428
