fname,Compiler for Instance,Compiler for Class,Compile Instance,build query,compile context, normalize ty,mode check,refine.typecheck,msolve,full instance search, instance search,query-compilation,static-check,optimization,runtime
base.v,0.3578,0.0519,0.6679,0.0220,0.1923,0.0060,0.0053,0.0097,0.2706,0.2441,0.0066,0.0536,0.0000,2.1302,2.4717
TOTAL,5.9767,0.0866,47.9522,4.1287,62.1104,1.3187,0.8565,1.7171,74.9995,70.7429,3.1574,2.4275,0.2467,79.5537,82.7213
proof_irrel.v,0.0087,,0.0045,0.0008,0.0017,0.0002,0.0002,0.0003,0.0042,0.0035,0.0002,0.0010,0.0000,0.0498,0.0138
decidable.v,0.0239,,0.0306,0.0082,0.0306,0.0037,0.0014,0.0027,0.0506,0.0444,0.0026,0.0073,0.0000,0.3186,0.0765
tactics.v,0.0016,0.0018,0.0008,0.0001,0.0003,0.0000,0.0000,0.0000,0.0007,0.0006,0.0000,0.0007,0.0000,0.0292,0.0048
option.v,0.1362,0.0033,0.0804,0.0352,0.0598,0.0098,0.0053,0.0085,0.1424,0.1230,0.0057,0.0223,0.0000,1.1335,0.2923
orders.v,0.0169,,0.0114,0.0024,0.0094,0.0008,0.0005,0.0009,0.0165,0.0144,0.0010,0.0025,0.0000,0.1247,0.0348
numbers.v,0.2109,,0.0433,0.0372,0.0157,0.0181,0.0053,0.0088,0.1019,0.0833,0.0116,0.0230,0.0000,1.1758,0.3226
list.v,0.5244,0.0054,0.3418,0.3522,0.4964,0.1519,0.0548,0.0788,1.3569,1.0769,0.0752,0.1955,0.0000,6.5446,1.9012
list_numbers.v,,,,0.0149,0.0082,0.0066,0.0023,0.0037,0.0473,0.0342,0.0024,0.0084,0.0000,0.2497,0.0445
fin.v,0.0040,,0.0010,0.0004,0.0000,0.0001,0.0001,0.0001,0.0012,0.0010,0.0001,0.0005,0.0000,0.0170,0.0055
countable.v,0.0576,0.0014,0.1130,0.0272,0.1298,0.0090,0.0170,0.0097,0.2291,0.1935,0.0064,0.0184,0.0000,0.7956,0.2966
vector.v,0.0092,,0.0070,0.0114,0.0092,0.0046,0.0019,0.0024,0.0371,0.0314,0.0054,0.0051,0.0000,0.2539,0.0478
finite.v,0.0717,0.0009,0.2293,0.0537,0.2871,0.0150,0.0132,0.0172,0.4600,0.4005,0.0236,0.0347,0.1303,1.2635,0.6159
sets.v,0.7776,0.0031,2.6116,0.4057,3.3515,0.1659,0.0689,0.2317,4.7304,4.4419,0.6588,0.2281,0.0000,10.4977,5.5550
relations.v,0.0131,,0.0058,0.0055,0.0092,0.0016,0.0009,0.0027,0.0457,0.0390,0.0205,0.0046,0.0000,0.1964,0.0609
fin_sets.v,0.2267,,2.9389,0.2232,3.8758,0.0902,0.0562,0.1190,5.3548,5.0455,0.8649,0.1588,0.1163,5.5536,5.6054
fin_maps.v,1.4975,0.0021,28.7035,1.7022,37.6811,0.4503,0.4030,0.7423,42.2296,40.4060,0.7120,0.9595,0.0001,25.4214,43.3200
fin_map_dom.v,0.2141,0.0015,10.0370,0.4163,13.2915,0.1289,0.0921,0.1743,14.7289,14.2134,0.4193,0.2559,0.0000,4.7716,14.7712
listset.v,0.0647,,0.0146,0.0086,0.0084,0.0022,0.0020,0.0034,0.0374,0.0280,0.0016,0.0068,0.0000,0.5088,0.1077
lexico.v,0.0350,,0.0396,0.0075,0.0344,0.0153,0.0017,0.0033,0.0727,0.0649,0.0016,0.0081,0.0000,0.3991,0.1224
boolset.v,0.0227,,0.0052,0.0014,0.0028,0.0004,0.0003,0.0006,0.0080,0.0062,0.0005,0.0015,0.0000,0.1083,0.0321
mapset.v,0.1843,,0.5122,0.0304,0.5713,0.0068,0.0086,0.0191,0.6852,0.6425,0.0084,0.0206,0.0000,1.3739,0.8856
pmap.v,0.0416,,0.0205,0.1045,0.1121,0.0290,0.0172,0.0446,0.5164,0.3643,0.0561,0.0882,0.0000,2.8302,0.6301
strings.v,0.0104,,0.0016,0.0092,0.0081,0.0080,0.0008,0.0004,0.0123,0.0108,0.0010,0.0012,0.0000,0.0562,0.0153
pretty.v,0.0253,0.0010,0.0020,0.0153,0.0083,0.0094,0.0025,0.0057,0.0585,0.0376,0.0027,0.0123,0.0000,0.4066,0.0880
infinite.v,0.0441,,0.0158,0.0057,0.0141,0.0013,0.0011,0.0020,0.0324,0.0261,0.0013,0.0048,0.0000,0.2677,0.0801
gmap.v,0.2669,,0.5652,0.1432,0.8418,0.0396,0.0212,0.0513,1.2919,1.1188,0.0351,0.0863,0.0000,1.6725,1.6031
stringmap.v,,,,0.0083,0.0049,0.0025,0.0020,0.0031,0.0338,0.0243,0.0022,0.0046,0.0000,0.1756,0.0370
zmap.v,0.0316,,0.0047,0.0371,0.0071,0.0102,0.0059,0.0103,0.1120,0.0809,0.0068,0.0148,0.0000,0.6237,0.1537
hashset.v,0.0496,,0.0596,0.0413,0.1195,0.0105,0.0077,0.0164,0.2563,0.2088,0.0115,0.0277,0.0000,0.7792,0.3269
natmap.v,0.0372,,0.0052,0.0332,0.0054,0.0093,0.0058,0.0110,0.1142,0.0825,0.0120,0.0170,0.0000,1.1579,0.1645
streams.v,0.0233,,0.0067,0.0014,0.0004,0.0004,0.0002,0.0004,0.0042,0.0034,0.0002,0.0019,0.0000,0.0917,0.0291
gmultiset.v,0.4553,0.0026,0.2918,0.1747,0.2627,0.0226,0.0163,0.0515,0.6953,0.5894,0.1168,0.0419,0.0000,2.9016,1.1686
listset_nodup.v,0.0930,,0.0128,0.0033,0.0083,0.0009,0.0011,0.0013,0.0207,0.0165,0.0007,0.0041,0.0000,0.2579,0.1173
nmap.v,0.0372,,0.0051,0.0269,0.0046,0.0071,0.0042,0.0074,0.0818,0.0594,0.0050,0.0109,0.0000,0.6347,0.1272
coPset.v,0.0457,,0.0055,0.0038,0.0023,0.0015,0.0008,0.0012,0.0146,0.0105,0.0010,0.0040,0.0000,0.2683,0.0625
coGset.v,0.1578,,0.2465,0.0498,0.2568,0.0124,0.0115,0.0413,0.4670,0.3791,0.0221,0.0285,0.0000,1.7484,0.6431
propset.v,0.0254,,0.0082,0.0066,0.0053,0.0019,0.0014,0.0024,0.0431,0.0360,0.0011,0.0045,0.0000,0.3161,0.0727
functions.v,0.0074,,0.0034,0.0008,0.0026,0.0002,0.0002,0.0004,0.0054,0.0046,0.0003,0.0009,0.0000,0.0418,0.0136
sorting.v,0.0219,,0.0288,0.0086,0.0406,0.0024,0.0017,0.0034,0.0730,0.0653,0.0019,0.0079,0.0000,0.3837,0.1010
nat_cancel.v,0.0334,0.0044,0.0092,0.0001,0.0003,0.0000,0.0000,0.0000,0.0007,0.0006,0.0000,0.0017,0.0000,0.1265,0.0409
namespaces.v,0.0191,,0.0652,0.0146,0.0731,0.0049,0.0039,0.0062,0.1307,0.1130,0.0106,0.0072,0.0000,0.5241,0.1550
telescopes.v,0.0013,,0.0003,0.0009,0.0002,0.0002,0.0001,0.0003,0.0025,0.0019,0.0001,0.0008,0.0000,0.0173,0.0042
binders.v,0.0685,,0.1711,0.0406,0.2312,0.0303,0.0036,0.0057,0.2679,0.2517,0.0304,0.0079,0.0000,0.3464,0.3022
bitblast.v,,0.0029,0.0007,0.0108,0.0028,0.0034,0.0015,0.0040,0.0375,0.0294,0.0048,0.0083,0.0000,0.2872,0.0463
bitvector.v,0.0221,0.0025,0.0075,0.0143,0.0108,0.0209,0.0027,0.0043,0.0662,0.0517,0.0036,0.0093,0.0000,0.4518,0.0930
bitvector_tactics.v,,0.0020,0.0157,0.0072,0.0203,0.0024,0.0022,0.0032,0.0501,0.0383,0.0017,0.0139,0.0000,0.2697,0.0576
